BAIRRO,AREA,QUARTOS,BANHEIROS,VAGAS,PRECO,LATITUDE,LONGITUDE
1,46,1,1,1,230000,-29.75998146,-50.02465496
1,48,1,1,1,240000,-29.75462947,-50.03207133
1,67,1,1,1,335000,-29.75559793,-50.01555526
1,345,4,5,4,3200000,-29.76047915,-50.02750667
1,35,1,1,1,200000,-29.75841968,-50.02380088
1,88,3,2,1,850000,-29.7597667,-50.02355822
1,35,1,1,1,329000,-29.76546747,-50.0170351
1,78,1,1,1,375000,-29.75479728,-50.02186725
1,47,1,1,1,220000,-29.749187,-50.02903619
1,156,3,2,1,890000,-29.75225043,-50.03164715
1,77,2,2,2,570000,-29.76416856,-50.01671028
1,64,2,2,1,480000,-29.75856744,-50.01797803
1,103,2,2,1,450000,-29.75409055,-50.03482751
1,36,1,1,1,280000,-29.75171895,-50.02809612
1,105,2,3,1,650000,-29.75403271,-50.02494347
1,88,2,2,1,780000,-29.75778454,-50.02560744
1,156,3,2,1,840000,-29.75949409,-50.01318886
1,37,1,1,1,350000,-29.7520076,-50.02817637
1,38,1,1,1,310000,-29.75349665,-50.02683697
1,38,2,1,1,390000,-29.75397257,-50.03880367
1,75,2,2,1,440000,-29.75172182,-50.02560075
1,38,1,1,1,240000,-29.75754343,-50.0213313
1,130,3,3,1,750000,-29.75341303,-50.01839265
1,100,2,2,1,680000,-29.75966705,-50.01958301
1,83,3,1,1,400000,-29.75794318,-50.03433073
1,39,1,1,1,390000,-29.75667577,-50.01286404
1,60,1,1,1,393443,-29.75498856,-50.03174364
1,175,2,3,2,1150000,-29.75253736,-50.03472911
1,100,1,1,1,245000,-29.75219087,-50.02512881
1,39,1,1,1,235000,-29.76139606,-50.01847003
1,89,2,2,1,550000,-29.75666375,-50.01882064
1,110,2,2,1,600000,-29.75072587,-50.02863972
1,95,2,2,1,600000,-29.75791168,-50.03452371
1,65,2,1,1,400000,-29.76301684,-50.02112112
1,40,1,1,1,425000,-29.76310103,-50.01676569
1,40,1,1,1,230000,-29.75286323,-50.0265389
1,110,2,2,1,676000,-29.75831602,-50.01961549
1,40,1,1,1,295000,-29.75650911,-50.03259582
1,40,1,1,1,285000,-29.76023747,-50.01827896
1,40,1,1,1,165000,-29.76082736,-50.02135232
1,40,1,1,1,230000,-29.76191838,-50.0168746
1,40,1,1,1,275000,-29.75842999,-50.03109974
1,40,1,1,1,230000,-29.7615192,-50.02270127
1,110,3,2,1,520000,-29.75713394,-50.01585906
1,41,1,1,1,350000,-29.75773128,-50.01168132
1,41,1,1,1,380000,-29.76398701,-50.01831622
1,41,1,1,1,315000,-29.75466498,-50.02060237
1,96,2,2,1,485000,-29.75790939,-50.01290035
1,41,1,1,1,315000,-29.75377212,-50.03731524
1,41,1,1,1,335000,-29.75007241,-50.02600773
1,162,3,3,2,1100000,-29.75996715,-50.0194378
1,101,2,2,1,856196,-29.76305521,-50.02304997
1,100,3,2,1,350000,-29.75376926,-50.02458522
1,56,1,1,1,380000,-29.75496337,-50.01721088
1,42,1,1,1,270000,-29.75955766,-50.02642808
1,68,1,1,1,550000,-29.75460886,-50.03015299
1,42,1,1,1,320000,-29.76248765,-50.02446007
1,42,1,1,1,230000,-29.75744321,-50.02505047
1,42,1,1,1,230000,-29.75531902,-50.02309487
1,88,2,3,1,572000,-29.74879755,-50.0298597
1,43,1,1,1,350000,-29.75014056,-50.03023419
1,43,1,1,1,390000,-29.75976383,-50.01925055
1,43,1,1,1,390000,-29.75785212,-50.01434101
1,100,2,1,1,620000,-29.75544101,-50.01438783
1,43,1,2,1,240000,-29.75993679,-50.01944258
1,43,1,2,1,380000,-29.75927531,-50.02949953
1,128,3,2,1,670000,-29.76105587,-50.01667589
1,43,1,1,1,290000,-29.75781891,-50.02864067
1,60,1,1,1,390000,-29.75237184,-50.03135386
1,80,2,2,1,732488,-29.75228021,-50.02469795
1,69,2,2,1,440000,-29.76450703,-50.01995464
1,130,3,2,2,950000,-29.75878679,-50.01404772
1,125,3,4,2,1350000,-29.75757264,-50.02062721
1,45,1,1,1,250000,-29.75636078,-50.02110393
1,45,2,1,1,495000,-29.75779829,-50.01851302
1,45,2,1,1,270000,-29.74975856,-50.02754202
1,45,1,1,1,431000,-29.75867855,-50.01534986
1,175,2,2,2,1200000,-29.75378358,-50.02840279
1,45,1,1,1,365000,-29.75923408,-50.02367668
1,87,3,2,1,900000,-29.76038007,-50.0137678
1,104,2,2,1,910000,-29.74928665,-50.03242194
1,97,3,2,1,550000,-29.75242396,-50.03326265
1,128,3,2,1,990000,-29.7516949,-50.03282032
1,46,1,1,1,392000,-29.75331739,-50.02400245
1,75,2,2,1,450000,-29.74964688,-50.03142456
1,46,1,1,1,265000,-29.75689169,-50.03523353
1,70,2,3,1,499000,-29.76522235,-50.01731215
1,46,1,1,1,350000,-29.7599219,-50.02771112
1,63,2,2,1,450000,-29.76193728,-50.01836876
1,74,2,2,1,500000,-29.7500558,-50.02807702
1,46,1,1,1,280000,-29.7566878,-50.02668125
1,95,3,2,2,985000,-29.75514663,-50.03541983
1,47,1,1,1,199000,-29.75457908,-50.0344148
1,47,1,1,1,295000,-29.76005248,-50.02051543
1,47,1,1,1,390000,-29.75950898,-50.01812419
1,47,1,1,1,260000,-29.75765396,-50.02168096
1,47,2,1,1,289000,-29.75417875,-50.03881131
1,48,1,1,1,430000,-29.76032681,-50.02019635
1,107,3,3,1,840000,-29.75661507,-50.03639237
1,80,2,2,1,700000,-29.75558934,-50.0413535
1,106,2,2,1,630000,-29.75972775,-50.02735668
1,48,1,1,1,490000,-29.76064352,-50.01368469
1,72,2,3,1,380000,-29.75851246,-50.02616536
1,60,2,1,1,410000,-29.75556242,-50.02428333
1,48,1,1,1,415000,-29.75423029,-50.02754584
1,48,1,1,1,210000,-29.75702856,-50.02087942
1,76,2,2,1,620000,-29.75790882,-50.01663003
1,75,2,2,1,520000,-29.76231011,-50.01987821
1,92,3,2,1,800000,-29.75478124,-50.02414385
1,49,1,1,1,295000,-29.75666661,-50.03632167
1,49,1,1,1,300000,-29.75503152,-50.04141082
1,49,1,1,1,427000,-29.74947392,-50.03187835
1,49,1,1,1,300000,-29.75536655,-50.03761713
1,165,3,2,3,2280000,-29.75958801,-50.01380793
1,252,4,5,2,1500000,-29.75522681,-50.02125201
1,142,3,2,1,1980000,-29.75510826,-50.03467848
1,49,2,1,1,350000,-29.75192284,-50.02688952
1,105,2,2,1,600000,-29.76006336,-50.01602529
1,50,1,1,1,370000,-29.7557812,-50.0364688
1,50,1,1,1,380000,-29.7501984,-50.03238468
1,92,2,2,1,850000,-29.75933316,-50.01910916
1,50,1,1,1,275000,-29.7634269,-50.01879867
1,50,1,1,1,275000,-29.75834351,-50.03518577
1,50,1,1,1,290000,-29.75168459,-50.03356932
1,60,1,1,1,186000,-29.74912457,-50.03047494
1,58,1,1,1,370000,-29.75336092,-50.02205928
1,124,3,4,1,1100000,-29.75801993,-50.02582239
1,50,1,1,1,500000,-29.75721298,-50.02747228
1,50,2,1,1,280000,-29.75508707,-50.02226563
1,50,1,1,1,290000,-29.75203108,-50.02942788
1,80,2,2,1,480000,-29.75397486,-50.03330851
1,50,1,1,1,275000,-29.75786644,-50.01172909
1,117,2,2,1,650000,-29.74855758,-50.03038514
1,108,2,2,1,750000,-29.75534995,-50.02531415
1,50,2,1,1,280000,-29.75394623,-50.02904765
1,54,1,1,1,315000,-29.75569415,-50.02999918
1,81,2,2,1,430000,-29.75170063,-50.03361995
1,50,1,1,1,240000,-29.75677657,-50.02551859
1,67,1,1,1,315000,-29.76248479,-50.02477438
1,50,2,1,1,379700,-29.75785098,-50.01510911
1,117,3,2,4,572000,-29.74891897,-50.03068989
1,50,1,1,1,190000,-29.76269154,-50.02179942
1,50,1,1,1,175000,-29.75819632,-50.03136915
1,50,1,1,1,335000,-29.7618697,-50.01603962
1,50,1,1,1,335000,-29.75750907,-50.01315065
1,50,1,1,1,380000,-29.75909033,-50.02247485
1,50,1,2,1,560000,-29.75440153,-50.02105234
1,50,1,1,1,285000,-29.74807708,-50.03027623
1,50,1,1,1,215000,-29.75518901,-50.02982435
1,50,1,1,1,345000,-29.75123444,-50.02522243
1,50,1,1,1,260000,-29.75814821,-50.03174747
1,50,1,1,1,380000,-29.76002957,-50.01490562
1,50,1,1,1,230000,-29.75075794,-50.03048927
1,50,1,1,1,345000,-29.75802795,-50.01715452
1,82,2,2,1,365000,-29.75683785,-50.02935718
1,164,3,2,2,850000,-29.75335748,-50.03393139
1,58,1,1,1,190000,-29.76269268,-50.0201696
1,48,1,2,1,390000,-29.75530928,-50.03878838
1,85,2,2,1,780000,-29.75975811,-50.02604403
1,124,3,2,1,590000,-29.75800847,-50.03096217
1,51,1,1,1,270000,-29.75495535,-50.02345313
1,93,2,2,1,800000,-29.75690428,-50.02214621
1,51,1,1,1,345000,-29.75529554,-50.03748242
